id,description,en
misc.notif.updatePINSuccess,Label for update PIN success notification toast,Your pin has been successfully updated
misc.notif.userAuditSuccess,Label for user audit success notification,"{name} was {action, select, DEACTIVATE {deactivated} REACTIVATE {reactivated} other {deactivated}}"
misc.notif.userFormSuccess,The message that appears in notification when a new user is created,New user created
misc.notif.userFormUpdateSuccess,The message that appears in notification when user details have been updated,User details have been updated
misc.pinMatchError,The error displayed if PINs don't match,PIN code did not match. Please try again
misc.pinSameDigitsError,The error displayed if PIN contains 4 same digits.,PIN cannot have same 4 digits
misc.pinSeqDigitsError,The error displayed if PIN contains sequential digits.,PIN cannot contain sequential digits
misc.reEnterDescription,,Let's make sure we collected your PIN correctly
misc.reEnterTitle,The title displayed while creating a PIN,Re-enter your new PIN
misc.session.expired,SessionExpire modal confirmation text,Your session has expired. Please login again.
misc.title.declarationStatus,Title for review action component,Send for approval?
modal.approveCorrection,The title for approve correction modal,Approve correction?
modal.rejectCorrection,The title for reject correction modal,Reject correction?
navigation.analytic,Analytic Group,Analytics
navigation.application,Application label in navigation,Application
navigation.approvals,Sent for approval label in navigation,Sent for approval
navigation.certificate,Certificates label in navigation,Certificate
navigation.communications,Communications label in navigation,Communications
navigation.completenessRates,Completeness rates in navigation,Completeness rates
navigation.config,Config label in navigation,Config
navigation.dashboard,Title for the test dashboard,Test Dashboard
navigation.declarationForms,Declaration forms label in navigation,Declaration forms
navigation.emailAllUsers,Email all users label in navigation,Email all users
navigation.informantNotification,Informant notifications label in navigation,Informant notifications
navigation.integration,Integration forms label in navigation,Integrations
navigation.myDrafts,My drafts label in navigation,My drafts
navigation.organisation,settings title,Settings
navigation.outbox,Label for navigation item outbox,Outbox
navigation.performance,Performance label in navigation,Performance
navigation.print,Ready to print label in navigation,Ready to print
navigation.progress,In progress label in navigation,In progress
navigation.readyForReview,Ready for review label in navigation,Ready for review
navigation.readyToIssue,Ready to issue label in navigation,Ready to issue
navigation.report,Report Dashboard Section,Report
navigation.reports,Reports label in navigation,Vital statistics
navigation.requiresUpdate,Requires update label for registrar in navigation,Requires update
navigation.sentForReview,Sent for review label in navigation,Sent for review
navigation.team,Team label in navigation,Team
navigation.userroles,User roles label in navigation,User roles
navigation.waitingValidation,Waiting for validation label in navigation,In external validation
number.twelve,Minimum length password,12
password.cases,Password validation,At least one upper and lower case character
