id,description,en
regHome.table.label.registeredDate,Label for date of registration in work queue list item,Declaration registered
regHome.val.regAgent.tooltip,Text to display for validated declaration as tooltip,Declaration has been validated and waiting for approval
regHome.validated.registrar.tooltip,Text to display for validated declaration as tooltip,Declaration has been validated by a registration agent
regHome.waitingForExternalValidation,The title of waiting for external validation,Waiting for ext. validation
regHome.workqueue.downloadDeclarationFailed,Label for declaration downloading failed,Failed to download declaration. Please try again
register.SelectContactPoint.phoneNoError,Phone no error text,Not a valid mobile number
register.eventInfo.birth.listItem0,Event info bullet list item for birth,I am here to complete the birth registration declaration for you.
register.eventInfo.birth.listItem1,Event info bullet list item for birth,"Once I complete the declaration, it will be sent to the registration office for review."
register.eventInfo.birth.listItem2,Event info bullet list item for birth,Wait for an SMS to tell you when to visit the office to collect the certificate - Take your ID with you.
register.eventInfo.death.listItem0,Event info bullet list item for death,I am here to complete the death registration declaration for you. 
register.eventInfo.death.listItem1,Event info bullet list item for death,"Once I complete the declaration, it will be sent to the registration office for review."
register.eventInfo.death.listItem2,Event info bullet list item for death,Wait for an SMS to tell you when to visit the office to collect the certificate - Take your ID with you.
register.eventInfo.event.title,,"Introduce the {eventType, select, birth{birth} death{death} other{marriage}} registration process to the informant"
register.eventInfo.marriage.listItem0,Event info bullet list item for marriage,I am here to complete the marriage registration declaration for you. 
register.eventInfo.marriage.listItem1,Event info bullet list item for marriage,"Once I complete the declaration, it will be sent to the registration office for review."
register.eventInfo.marriage.listItem2,Event info bullet list item for marriage,Wait for an SMS to tell you when to visit the office to collect the certificate - Take your ID with you.
register.form.modal.desc.deleteDeclarationConfirm,Description for delete declaration confirmation modal,"Are you certain you want to delete this draft declaration form? Please note, this action can't be undone."
register.form.modal.desc.exitWithoutSavingDeclarationConfirm,Description for exit declaration without saving confirmation modal,You have unsaved changes on your declaration form. Are you sure you want to exit without saving?
register.form.modal.desc.exitWithoutSavingModalForCorrection,Description for exit declaration without saving confirmation modal for correct record,Are you sure you want to exit? Any corrections you have made will not be saved.
register.form.modal.desc.saveCorrectionConfirm,Description for save correction confirmation modal,The declarant will be notified of this correction and a record of this decision will be recorded
register.form.modal.desc.saveCorrectionReject,Description for reject correction modal,The declarant will be notified of this decision and a record of this decision will be recorded
register.form.modal.desc.saveDeclarationConfirm,Description for save declaration confirmation modal,All inputted data will be kept secure for future editing. Are you ready to save any changes to this declaration form?
register.form.modal.desc.validateConfirmation,Description for validate confirmation modal,This declaration will be sent for approval prior to registration.
register.form.modal.description.deleteDeclarationConfirm,Description for delete declaration confirmation modal,"Are you certain you want to delete this draft declaration form? Please note, this action can't be undone."
register.form.modal.submitDescription,Submit description text on submit modal,By clicking “Submit” you confirm that the informant has read and reviewed the information and understands that this information will be shared with Civil Registration authorities.
register.form.modal.title.deleteDeclarationConfirm,Title for delete declaration confirmation modal,Delete draft?
register.form.modal.title.exitWithoutSavingDeclarationConfirm,Title for exit declaration without saving confirmation modal,Exit without saving changes?
register.form.modal.title.exitWithoutSavingModalForCorrection,Title for exiting correction record without saving confirmation,Exit correct record?
register.form.modal.title.saveCorrectionConfirm,Title for save correction confirmation modal,Approve correction?
register.form.modal.title.saveCorrectionReject,Title for reject correction modal,Reject correction?
register.form.modal.title.saveDeclarationConfirm,Title for save declaration confirmation modal,Save & exit?
register.form.modal.title.validateConfirmation,Title for validate confirmation modal,Send for approval?
register.form.newVitalEventRegistration,The message that appears for new vital event registration,"{event, select, birth {Birth} death {Death} marriage {Marriage} divorce {Divorce} adoption {Adoption}} declaration"
register.form.previewEventRegistration,The message that appears for new birth registrations,"{event, select, birth {Birth} death {Death} marriage {Marriage} divorce {Divorce} adoption {Adoption}} Declaration Preview"
register.form.required,Required field error message,This field is required
register.form.reviewEventRegistration,The message that appears for new birth registrations,"{event, select, birth {Birth} death {Death} marriage {Marriage} divorce {Divorce} adoption {Adoption}} Declaration Review"
register.form.section.preview.name,Form section name for Preview,Preview
register.form.section.preview.title,Form section title for Preview,Preview
register.registerForm.queryError,The error message shown when a search query fails,"The page cannot be loaded at this time due to low connectivity or a network error. Please click refresh to try again, or try again later."
register.selectInformant.birthErrorMessage,Label for birth error message,Please select who is present and applying
register.selectInformant.birthInformantTitle,Who is applying for birth registration,Who is applying for birth registration?
register.selectInformant.deathErrorMessage,Label for death error message,Please select the relationship to the deceased.
register.selectInformant.deathInformantTitle,Who is applying for death registration,Who is applying for death registration?
register.selectInformant.marriageInformantTitle,Who is applying for marriage registration,Who is applying for marriage registration?
register.selectInformant.newBirthRegistration,The title that appears for new birth registrations,New birth declaration
register.selectInformant.newDeathRegistration,The title that appears for new death registrations,New death declaration
register.selectInformant.newMarriageRegistration,The title that appears for new marriage registrations,New marriage declaration
register.selectInformant.parents,The description that appears when selecting the parent as informant,Mother & Father
register.selectVitalEvent.backToReviewButton,,Back to review
register.selectVitalEvent.errorMessage,Error Message to show when no event is being selected,Please select the type of event
register.selectVitalEvent.registerNewEventHeader,The section heading on the page,What type of event do you want to declare?
register.selectVitalEvent.registerNewEventHeading,The section heading on the page,What type of event do you want to declare?
register.selectVitalEvent.registerNewEventTitle,The title that appears on the select vital event page,New declaration
rejectModal.archive,The label for archive button of reject modal,Archive
rejectModal.markAsDuplicate,The label for mark as duplicate checkbox of reject modal,Mark as a duplicate
rejectModal.sendForUpdate,The label for send For Update button of reject modal,Send For Update
rejectModal.title,The title for reject modal,Reason for rejection?
reloadmodal.body,Body of reload modal,There’s a new version of {app_name} available. Please update to continue.
reloadmodal.button.update,Label of update button,Update
reloadmodal.title,Title when update is available,Update available
resend.sms,Text for button that resend SMS or email verification code,"Resend {notificationMethod, select, sms {SMS} email {Email} other {}}"
resetCredentials.emailAddressConfirmation.form.body.header,Form body header used in the body of email address confirmation step,Enter your email address
resetCredentials.forgottenItem.form.body.header,Body header for forgotten item form,What have you forgotten?
resetCredentials.forgottenItem.form.title,Title used for forgotten item form,Can't login
resetCredentials.form.title,Title used reset credentials forms,"{forgottenItem, select, username {Username reminder request} password {Password reset} other {}} "
resetCredentials.label.field.answer,Label used for answer input field,Answer
resetCredentials.label.field.verificationCode,Label used for verification code input field,Verification code (6 digits)
resetCredentials.option.password,Option used for password,My password
resetCredentials.option.username,Option used for username,My username
resetCredentials.phoneNumberConfirmation.form.body.header,Form body header used in the body of phone number confirmation step,Enter your phone number
resetCredentials.recoveryCodeEntry.codeResent.form.body.header,The title that appears in step two of the form after resend button click,Verification code resent
resetCredentials.recoveryCodeEntry.codeResent.form.body.subheader,The message that appears when the resend button is clicked.,We just resent you another code to {number}.
resetCredentials.recoveryCodeEntry.form.body.header,Form body header used for recovery code entry step,Enter the 6-digit recovery code
resetCredentials.recoveryCodeEntry.form.body.subheader,Form body subheader used for recovery code entry step in mobile flow,The recovery code was sent to your phone number. Please enter the code. Didn't receive it? {link}
resetCredentials.recoveryCodeEntry.form.body.subheader.email,Form body subheader used for recovery code entry step in email flow,The recovery code was sent to your email. Please enter the code. Didn't receive it? {link}
resetCredentials.securityQuestion.form.body.subheader,Form body subheader used for security question step,This is one of the security questions you choose when setting up your account
resetCredentials.success.page.subtitle.email,Subtitle for success page for email,"{forgottenItem, select, username {Check your email for a reminder of your username} password {You can now login with your new password} other {}}"
resetCredentials.success.page.subtitle.phone,Subtitle for success page for phone,"{forgottenItem, select, username {Check your phone for a reminder of your username} password {You can now login with your new password} other {}}"
resetCredentials.success.page.title,Title for success page,"{forgottenItem, select, username {Username reminder sent} password {Passowrd reset successful} other {}}"
review.actions.desc.regConfComp,,"By clicking register, you confirm that the information is correct and has been reviewed by the informant. The informant understands that it will be used to register the {eventType, select, birth {birth declaration} death {death declaration}} and for planning purposes.

By registering this {eventType, select, birth {birth declaration} death {death declaration}}, a {eventType, select, birth {birth} death {death}} certificate will be generated with your signature for issuance."
review.actions.desc.regConfInComp,,Mandatory information is missing. Please add this information so that you can complete the registration process.
review.actions.description,,By registering you confirm that you have reviewed this declaration and satisfied it fulfils requirements required for registration. 
review.actions.description.confirmComplete,Description for review action component when complete declaration,"By sending this declaration for review you confirm that the information has been reviewed by the informant and that they are aware that they will receive an {deliveryMethod} with a tracking ID and details of how to collect the {eventType, select, birth {birth} death {death}} certificate"
review.actions.description.confirmInComplete,Description for review action component when incomplete declaration,The informant will receive an {deliveryMethod} with a tracking ID that they can use to provide the additional mandatory information required for registration.
review.actions.description.hasError,Description for review action component when declaration has errors on fields,Please ensure all fields are either empty or have a valid value in them.
review.actions.title.declarationStatus,Title for review action component,"Declaration {completeDeclaration, select, true {complete} false {incomplete}}"
review.actions.title.registerActionTitle,,Register event
review.annotations.title,Title for the annotations accordion section in review,Annotations
review.birthRegistration.queryError,The error message shown when a query fails,An error occurred while fetching birth registration
review.button.approve,Label for Send For Approval button,Send for approval
review.declare.confirmModal.title,The title for review action modal when declaring,Declare the {event}?
review.declare.incomplete.confirmModal.title,The title for review action modal when declaring,Notify the {event}?
review.documentViewer.title,Label for Supporting documents section,Supporting documents
review.documents.editDocuments,Edit documents text,Add attachment
review.documents.zeroDocumentsText,Zero documents text,"No supporting documents for {section, select, child {child} mother {mother} father {father} deceased {deceased} informant {informant} primaryCaregiver {parents}}"
review.documents.zeroDocumentsTextForAnySection,Zero documents text,No supporting documents
review.edit.modal.backToPreview,Preview button on edit modal,Back to Preview
review.edit.modal.confirmationText,Edit modal confirmation text,A record will be created of any changes you make.
review.edit.modal.confirmationTitle,Edit modal confirmation title,Edit declaration?
review.error.unauthorized,The error message shown when a query fails,We are unable to display this page to you
review.form.section.review.name,Form section name for Review,Review
review.form.section.review.title,Form section title for Review,Review
review.form.title,Review form label for update action,Review form
review.header.subject.subjectWitName,Header subject that shows which declaration type to review with informant name,"{name} {eventType, select, birth {Birth} death {Death} other {Marriage} } declaration"
review.header.subject.subjectWithoutName,Header subject that shows which declaration type to review,"{eventType, select, birth {Birth} death {Death} other {Marriage}} declaration"
review.header.title.govtName,Header title that shows govt name,Government
review.inputs.additionalComments,Label for input Additional comments,Any additional comments?
review.inputs.brideSignature,Label for informants signature input,Signature of Bride
review.inputs.groomSignature,Label for informants signature input,Signature of Groom
review.inputs.informantsSignature,Label for informants signature input,Signature of informant
review.inputs.supportingDocuments,Section heading title for supporting documents,Supporting documents
review.inputs.terms,Label for signature terms,"We, the undersigned declare under penalty of perjury under the laws of Farajaland that the forgoing information is true and correct to the best of our knowledge and belief. We further declare that no legal objections to the marriage is known and hereby apply for a certificate of marriage"
review.inputs.witnessOneSignature,Label for informants signature input,Signature of Witness 1
review.inputs.witnessTwoSignature,Label for informants signature input,Signature of Witness 2
review.modal.desc.submitConfirmation,Submit description text on modal,"{completeDeclaration, select, true {This declaration will be sent to the registrar for them to review.} false {This declaration will be sent to the Registrar for completion. Please inform the Informant that they will need to visit the office with the missing information and supporting documents.}}"
review.modal.title.registerConfirmation,Title for register confirmation modal,Register the {event}?
review.modal.title.submitConfirmation,Submit title text on modal,"{completeDeclaration, select, true {Send declaration for review?} false {Send incomplete declaration?}}"
review.register.confirmModal.title,The title for review action modal when registering,Register the {event}?
review.rej.form.reasons.missSupDoc,Label for rejection option missing supporting doc,Missing supporting documents
review.rejection.form,Rejection form name,Rejection Form
review.rejection.form.commentLabel,,Comments or instructions for health worker to rectify declaration
review.rejection.form.instruction,Rejection form instruction,Please describe the updates required to this record for follow up action.
review.rejection.form.reasons,Rejection reasons checkbox label,Reason(s) for rejection:
review.rejection.form.reasons.duplicate,Label for rejection option duplicate,Duplicate declaration
review.rejection.form.reasons.markDuplicate,Label for rejection option duplicate,Mark as a duplicate
review.rejection.form.reasons.misspelling,Label for rejection option misspelling,Misspelling
review.rejection.form.reasons.other,Label for rejection option other,Other
review.rejection.form.submitButton,Rejection form submit button,Submit rejection
review.rejection.form.title,Rejection form title,What update does the declaration require?
review.signature.clear,Label for button that clear signature input,Clear
review.signature.delete,Label for button that deletes signature,Delete
review.signature.description,Label awknowledging the correctness of the declaration,"I, the undersigned, hereby declare that the particulars in this form are true and correct to the best of my knowledge."
review.signature.input.description,Description awknowledging the correctness of the declaration,"By signing this document with an electronic signature, I agree that such signature will be valid as handwritten signatures to the extent allowed by the laws of Farajaland."
review.signature.open,Label for button that opens the signature input,Sign
saveAndExit.desc.saveDeclarationConfirm,Description for save declaration confirmation modal,All inputted data will be kept secure for future editing. Are you ready to save any changes to this declaration form?
saveAndExit.title.saveDeclarationConfirm,Title for save declaration confirmation modal,Save & exit?
search.advancedSearch.result.title,Advanced search result title,Search results ({count})
search.bookmark.error.notification,Error Notification messages for bookmark advanced search result,"Sorry, something went wrong. Please try again"
search.bookmark.loading.notification,Loading Notification messages for bookmark advanced search result,Bookmarking your advanced search results...
search.bookmark.remove.loading.notification,Loading Notification messages for remove advanced search bookmark,Removing your advanced search bookmark...
search.bookmark.remove.success.notification,Success Notification messages for remove advanced search bookmark,Your advanced search bookmark has been removed successfully
search.bookmark.success.notification,Success Notification messages for bookmark advanced search result,Your advanced search result has been bookmarked successfully
search.bookmarkAdvancedSearchModalBody,Modal body for bookmark advacnced search,A shortcut will be added to the side bar so you can rerun this search query
search.bookmarkAdvancedSearchModalTitle,Modal title for bookmark advacnced search,Save search query?
search.informantContact,The rejected reason,Informant contact number
search.labels.results.eventRegistrationNumber,Label for event registration number in search result list item,"{event, select, birth {B} death {D} marriage {M} divorce {Divorce } adoption {A}}RN"
search.loadingDeclarations,The text when loading declaration,Loading declarations...
search.locationNotFound,Label for location not found,Location not found
search.noDeclarations,The text when there is no declaration to review,No declarations to review
search.noRecord,The no record text,"No records {slug, select, draft {in drafts} outbox {require processing} other {{title}}}"
search.noResult,The no result text,No result
search.noResultFor,The no result text,No results for ”{param}”
search.noResultForSearchTerm,The no result text,"No results for ""{searchTerm}"""
search.noResults,Text to display if the search return no results for the current filters,No result to display
search.placeholder,Placeholder text of search input,Name of query
search.quickSearch.result.title,Title for search result page,Search result for “{searchTerm}”
search.removeBbookmarkAdvancedSearchModalBody,Modal body for remove bookmark advacnced search,This advanced search bookmark will be removed from the side bar shortcut
search.removeBookmarkAdvancedSearchModalTitle,Modal title for remove bookmark advacnced search,Remove search query?
search.results,Results label at the top of the data table component,Results
search.searchResultFor,The search result text,Search results for ”{param}”
search.searchingFor,The searching for text,Searching for “{param}”
search.totalResultText,The total result text,"{total, plural, =0 {} one {# record found} other {# records found}} "
search.waitingForConnection,The text when there is no connectivity,Reconnect to load declarations
searchField.indicators.clearButton,Clear button text,Clear
searchField.indicators.clearModal.cancel,Cancel button for clear confirmation modal,Cancel
searchField.indicators.clearModal.confirm,Confirm button for clear confirmation modal,Confirm
searchField.indicators.clearModal.description,Description for the clear confirmation modal,This will remove the current search results.
searchField.indicators.clearModal.title,Title for the clear confirmation modal,Clear search results?
searchField.indicators.confirmButton,Confirm button text,Search
searchField.indicators.httpError,HTTP error indicator,"{statusCode, select, 408{Timed out} other{An error occurred while fetching data}}"
searchField.indicators.loading,Loading indicator,Searching...
searchField.indicators.noResultsError,No results found indicator,No record found
searchField.indicators.offline,Offline indicator,Search is unavailable while offline
searchField.indicators.ok,OK button text,Found {count} results
settings.account.tile,Account header,Account
settings.changeAvatar,Avatar change modal header,Change profile image
settings.changeAvatar.changeImage,Change image label,Change image
settings.changeAvatar.resizeAvatar,Avatar resize and position message,Resize and position the chosen image.
settings.changeLanguage,Change language title,Change language
settings.changeLanguage.success,Change language success,Language updated
settings.changePassword,Password change modal header,Change password
settings.changePhone,Change phone number title,Change phone number
settings.message.changeLanguage,Change language message,Your prefered language that you want to use on OpenCRVS
settings.profile.tile,Profile header,Profile
settings.security.tile,Security header,Security
settings.system.tile,System header,System
settings.title,Title of the settings page,Settings
settings.user.label.assignedOffice,Assigned office,Assigned office
settings.user.label.nameBN,,Bengali name
settings.user.label.nameEN,,Full name
settings.verifyPhone,Verify phone number title,Verify phone number
sysAdHome.config,The title of config tab,Config
sysAdHome.devices,The title of devices tab,Devices
sysAdHome.network,The title of network tab,Network
sysAdHome.offices,The title of offices tab,Offices
sysAdHome.overview,The title of overview tab,Overview
sysAdHome.resendInvite,The label for menu option resend invitation,Resend invite
sysAdHome.resendInviteError,The label for error notification of resend invite,Invite could not be sent
sysAdHome.resendInviteSuccess,The label for success notification of resend invite,Invite sent
sysAdHome.resentPasswordError,The label for error notification of reset password sms invite,Temporary password could not be sent
sysAdHome.resentPasswordSuccess,The label for success notification of reset password sms invite,Temporary password sent to {username}
sysAdHome.sendUsernameReminderInvite,The label for menu option to send username reminder,Send username reminder
sysAdHome.sendUsernameReminderInviteError,The label for error notification of send username reminder,Username reminder could not be sent
sysAdHome.sendUsernameReminderInviteModalMessage,Message for send username reminder,The user will receive a username reminder via an {deliveryMethod} sent to {recipient}
sysAdHome.sendUsernameReminderInviteModalTitle,Title for send username reminder,Send username reminder?
sysAdHome.sendUsernameReminderInviteSuccess,The label for success notification of send username reminder,Username reminder sent to {name}
sysAdHome.user.audit.comments,The label for form field deactivate comments,Comments: 
sysAdHome.user.audit.deactiv.reasonInv,The label for radio option being investigated,Being investigated due to suspicious activity on their account
sysAdHome.user.audit.deactiv.reasonNotEmp,The label for radio option not employee,No longer an employee
sysAdHome.user.audit.deactivation.subtitle,The subtitle of user deactivation confirmation modal,This will revoke {name}’s ability to login and access the system. The account can be reactivated at a later date.
sysAdHome.user.audit.deactivation.title,The title of user deactivation confirmation modal,Deactivate {name}?
sysAdHome.user.audit.form.error,The label for form error,A reason is required for {auditAction} this user
sysAdHome.user.audit.reactiv.noLongerInv,The label for radio option no longer investigated,No longer being investigated for suspicious activity
sysAdHome.user.audit.reactiv.returned,The label for radio option Returned to role,Returned to their role
sysAdHome.user.audit.reactivation.subtitle,The subtitle of user reactivation confirmation modal,This will reactivate {name}’s ability to login and access the system.
sysAdHome.user.audit.reactivation.title,The title of user reactivation confirmation modal,Reactivate {name}?
sysAdHome.user.audit.reason,The label for form field deactivate reason,Please provide a reason: 
sysAdHome.user.audit.reasonOther,The label for radio option other,Other (please provide a reason in the comments)
sysAdHome.user.deactivate,Label for toggle menu option deactivate,Deactivate
sysAdHome.user.edit.commonGroupTitle,Common title of form view groups when edit user,Edit user
sysAdHome.user.header,Title for edit user details,Edit details
sysAdHome.user.reactivate,Label for toggle menu option reactivate,Reactivate
sysAdHome.user.resetPasswordModal.message,Message for reset password modal,The user will receive a temporary password via {deliveryMethod} sent to {recipient}. They will then be prompted to create a new password on successful login
sysAdHome.user.resetPasswordModal.title,Title for reset user password modal,Reset password?
sysAdHome.user.resetpassword.title,Title for reset user password,Reset Password
sysAdHome.users,The title of users tab,Users
system.user.active,Pill label for active user,Active
system.user.deactivated,Pill label for deactivated user,Deactivated
system.user.disabled,Pill label for disabled user,Disabled
system.user.duplicateEmailError,This error message shows when user tries to input an already existing email,{email} is already used by another user. Please use a different email
system.user.duplicateMobileError,This error messege shows when user try to input already exsisted mobile number,{number} is already used by another user. Please use a different phone number
system.user.newUser,This text will show to create new user button,New User
system.user.pending,Pill label for pending user,Pending
system.user.queryError,The text when error ocurred loading system users,An error occurred while loading system users
system.user.settings.avatarUpdated,Profile image change message on success,Profile image successfully updated
system.user.settings.avatarUpdating,Profile image message when uploading,Updating profile image
system.user.settings.emailAddressUpdated,Email change message on success,Email Address updated
system.user.settings.incorrectPassword,Response message for incorrect password for password change,Current password incorrect. Please try again.
system.user.settings.incorrectVerifyCode,Response message for incorrect Verify code for phone number change,Verify code incorrect. Please try again.
system.user.settings.language,,{language}
system.user.settings.name,label for Name,Name
system.user.settings.passwordUpdated,Password change message on success,Password was successfully changed
system.user.settings.phonedNumberUpdated,Phone change message on success,Phone number updated
system.user.settings.profileImage,Label for profile image,Profile Image
system.user.settings.systemLanguage,Label for system language,System language
system.user.total,User list table header text,{totalUser} users
system.user.unlock.pinLabel,Label for entering unlock user profile,Enter your pin
team.header.sysadmin.home,Header for system admin team home page,Search for an office
team.user.buttons.deactivate,Label for confirmation modal for user deactivation,Deactivate
team.user.buttons.reactivate,Label for confirmation modal for user reactivation,Reactivate
unlockApp.incorrectPin,The message displayed when a user enters an incorrect PIN,Incorrect pin. Please try again
unlockApp.lastTry,The message displayed before the 3rd attempt of an incorrect PIN,Last Try
unlockApp.locked,The title displayed while creating a PIN,Your account has been locked. Please try again in 1 minute
user.avatar,,User avatar
user.form.buttons.submit,Label for submit button of user creation form,Create user
user.form.securityquestion.answer,,Answer
user.form.securityquestion.description,,"From the drop down lists below, select questions that can be used later to confirm your identity should you forget your password."
user.form.securityquestion.enterResponse,,Enter a response to your chosen security question
user.form.securityquestion.heading,,Set your security questions
user.form.securityquestion.securityQuestionLabel,,Security question {count}
user.form.securityquestion.selectSecurityQuestion,,Select a security question
user.form.securityquestion.title,,Security questions
user.profile.assignedOffice,Title for assigned office field,Assigned registration office
user.profile.audit.column.action,Title for audit action column,Action
user.profile.audit.column.date,Title for audit date column,Date
user.profile.audit.column.deviceIPAddress,Title for audit Device/IP Address column,Device/IP Address
user.profile.audit.column.eventType,Title for audit event type column,Event
user.profile.audit.column.trackingId,Title for audit tracking id column,Record
user.profile.audit.description.certified,Description for certified declaration,Certified
user.profile.audit.description.declared,Description for complete declaration,Declaration started
user.profile.audit.description.inProgress,Description for incomplete declaration,Sent incomplete
user.profile.audit.description.issued,Description for Issued declaration,Issued
user.profile.audit.description.registered,Description for registered declaration,Registered
user.profile.audit.description.rejected,Description for rejected declaration,Rejected
user.profile.audit.description.updated,Description for updated declaration,Updated
user.profile.audit.description.validated,Description for validated declaration,Sent for approval
user.profile.audit.list.noDataFound,Text for audit list,No audits to display
user.profile.auditList.approvedCorrectionAuditAction,Description for record correction being approved,Approved correction request
user.profile.auditList.archived,Description for declaration archived,Archived
user.profile.auditList.assigned,Description for declaration assignment,Assigned
user.profile.auditList.corrected,Description for declaration corrected,Corrected Record
user.profile.auditList.emailAddressChanged,Description for user change email,Email Address changed
user.profile.auditList.loggedIn,Description for user logged in,Logged in
user.profile.auditList.loggedOut,Description for user logged out,Logged out
user.profile.auditList.markedAsDuplicate,Description for marked as duplicate in audit action,Marked as duplicate
user.profile.auditList.markedAsNotDuplicate,Description for marked as not duplicate in audit action,Marked as not duplicate
user.profile.auditList.passwordChanged,Description for user change password,Changed Password
user.profile.auditList.passwordReset,Description for User reset password action,Reset password
user.profile.auditList.passwordResetByAdmin,Description for sending temporal password action,Sent password
user.profile.auditList.phoneNumberChanged,Description for user change phoneNumber,Phone number changed
user.profile.auditList.reInstatedToInProgress,Description for sending registration from Reinstated to In progress audit action,Reinstated to in progress
user.profile.auditList.reInstatedToInReview,Description for sending registration from Reinstated to In review audit action,Reinstated to ready for review
user.profile.auditList.reInstatedToUpdate,Description for sending registration from Reinstated to require updates audit action,Reinstated to requires updates
user.profile.auditList.rejectedCorrectedAuditAction,Description for record correction being rejected,Rejected correction request
user.profile.auditList.requestedCorrectionAuditAction,Description for record correction being requested,Requested correction
user.profile.auditList.retrieved,Description for declaration retrieved audit action,Retrieved
user.profile.auditList.sentForApproval,Description for sending registration for approval audit action,Sent for approval
user.profile.auditList.showMore,Label for show more link,Show next {pageSize} of {totalItems}
user.profile.auditList.unAssigned,Description for declaration not assigned to self,Unassigned
user.profile.auditList.userCreated,Description for User created action,Created User
user.profile.auditList.userDeactivated,Description for User deactivated,Deactivated User
user.profile.auditList.userEdited,Description for User edited action,Edit User
user.profile.auditList.userReactivated,Description for User reactivated,Reactivates User
user.profile.auditList.usernameReminderByAdmin,Description for send username reminder audit action,Sent username reminder
user.profile.auditList.usernameRequested,Description for User username requested audit action,Username Reminder Requested
user.profile.auditList.viewed,Description for declaration viewed audit action,Viewed
user.profile.nid,Title for nid,National ID
user.profile.phoneNumber,Title for phoneNumber field,Phone number
user.profile.roleType,Title for roleType field,Role/Type
user.profile.sectionTitle.audit,Title for audit section,History
user.profile.startDate,Title for startDate field,Start date
user.profile.userName,Title for userName field,Username
userSetup.complete.instruction,Instruction for the setup complete,Now login to your account with your username and newly created password
userSetup.complete.title,Title for the setup complete page,Account setup complete
userSetup.instruction,User setup review page instruction,Check the details below to confirm your account details are correct. and make annecessary changes to confirm your account details are correct.
userSetup.landing.instruction,Instruction for the account setup langing page,You just a few steps away from completing your account set up.
userSetup.landing.title,Title for the landing page,Welcome to {applicationName}
userSetup.review.header,User setup review page subtitle,Confirm your details
userSetup.review.title,User setup review page title,Your details
userSetup.securityQuestions.birthTown,The description for BIRTH_TOWN key,What city were you born in?
userSetup.securityQuestions.favoriteFood,The description for FAVORITE_FOOD key,What is your favorite food?
userSetup.securityQuestions.favoriteMovie,The description for FAVORITE_MOVIE key,What is your favorite movie?
userSetup.securityQuestions.favoriteSong,The description for FAVORITE_SONG key,What is your favorite song?
userSetup.securityQuestions.favoriteTeacher,The description for FAVORITE_TEACHER key,What is the name of your favorite school teacher?
userSetup.securityQuestions.firstChildName,The description for FIRST_CHILD_NAME key,What is your first child's name?
userSetup.securityQuestions.hightSchool,The description for HIGH_SCHOOL key,What is the name of your high school?
userSetup.securityQuestions.motherName,The description for MOTHER_NAME key,What is your mother's name?
userSetup.type.healthSystem,The description for health system type,Health System
userSetup.type.hospital,The description for HOSPITAL type,Hospital
userSetup.type.system,The description for system type,System
userSetup.waiting,The message that displays when the user is waiting for the account to be created,Setting up your account
validate.complete.declaration.action.description,,By sending for approval you confirm that the declaration is ready for approval
validate.complete.declaration.action.title,,Send for approval or reject?
validate.declaration.action.modal.description,,This declaration will be sent for approval prior to registration.
validate.declaration.action.modal.title,,Send for approval?
validations.bengaliOnlyNameFormat,The error message that appears when a non bengali character is used in a Bengali name,Must contain only Bengali characters
validations.blockAlphaNumericDot,The error message that appears when an invalid value is used,"Can contain only block character, number and dot (e.g. C91.5)"
validations.correctionReason,The error message that appears on reason field on correction form,Please provide a reason for this correction
validations.dateFormat,The error message appears when the given date is not valid,Must be a valid date
validations.dobEarlierThanDom,The error message appears when the given birth date is later than the given marriage date,Must be earlier than marriage date
validations.domLaterThanDob,The error message appears when the given marriage date is earlier than the given birth date,Must be later than birth date
validations.duplicateNationalID,Unique Nid validation,National ID must be unique
validations.emailAddressFormat,The error message that appears on email address,Must be a valid email address
validations.englishOnlyNameFormat,"The error message that appears when a non English character except numbers, hyphens and underscores is used in an English name","Input contains invalid characters. Please use only letters (a-z), numbers (0-9), hyphens (-), and underscores (_)"
validations.facilityMustBeSelected,The error message appears when no valid facility is selected,No facility selected
validations.greaterThanZero,The error message appears when input is less than or equal to 0,Must be a greater than zero
validations.illegalMarriageAge,The error message appears when the birth date is not old enough to register for marriage,Illegal age of marriage
validations.invalidDate,The error message that appears when a date field is invalid,Invalid date field
validations.isAgeInYearsBetween,The error message that appears when a date is outside the valid age range,Age must be between {min} and {max} years
validations.isDateNotAfterDeath,The error message appears when the given date of death is not valid,Date must be before decease date
validations.isDateNotBeforeBirth,The error message appears when the given date of death is not valid,Date must be after deceased birth date
validations.isInformantOfLegalAge,The error message appears when the informant is not old enough to register an event,Informant is not of legal age
validations.isMoVisitAfterDeath,The error message appears when the given date of visit of medical practitioner is after the death date,Medical Practitioner visit date must not be after the date of death
validations.isMoVisitBeforeBirth,The error message appears when the given date of visit of medical practitioner is before the birth date of deceased,Medical Practitioner visit date must not be before the birth of deceased
validations.isValidBirthDate,The error message appears when the given birth date is not valid,Must be a valid birth date
validations.isValidDateOfDeath,The error message appears when the given date of death is not valid,Must be a valid date of death
validations.maxLength,The error message that appears on fields with a maximum length,Must not be more than {max} characters
validations.minLength,The error message that appears on fields with a minimum length,Must be {min} characters or more
validations.mobileNumberFormat,The format of the mobile number that appears in an error message,07123456789
validations.mobilePhoneRegex,The regular expression to use when validating a local mobile phone number,"07[0-9]{9,10}"
validations.nonDecimalPointNumber,The error message that appeards when any decimal point number is used,Can not have any decimal point number
