admin3Name_en,admin3Name_alias,admin3Pcode,admin2Name_en,admin2Name_alias,admin2Pcode,admin1Name_en,admin1Name_alias,admin1Pcode,admin0Name_en,admin0Name_alias,admin0Pcode
,,,,,,Funafuti,Funafuti,TUV-002,Tuvalu,Tuvalu,TUV
,,,,,,Nanumea,Nanumea,TUV-003,Tuvalu,Tuvalu,TUV
,,,,,,Nanumaga,Nanumaga,TUV-004,Tuvalu,Tuvalu,TUV
,,,,,,Niutao,Niutao,TUV-005,Tuvalu,Tuvalu,TUV
,,,,,,Nui,Nui,TUV-006,Tuvalu,Tuvalu,TUV
,,,,,,Vaitupu,Vaitupu,TUV-007,Tuvalu,Tuvalu,TUV
,,,,,,Nukufetau,Nukufetau,TUV-008,Tuvalu,Tuvalu,TUV
,,,,,,Nukulaelae,Nukulaelae,TUV-009,Tuvalu,Tuvalu,TUV
,,,,,,Niulakita,Niulakita,TUV-011,Tuvalu,Tuvalu,TUV
