id,name,partOf,locationType
CRVS_MGT1010040066,CEC MAHAVELONA,Location/MGT1010040066,CRVS_OFFICE
CRVS_MGT1010040067,CEC MARONDRY,Location/MGT1010040067,CRVS_OFFICE
CRVS_MGT1010040068,CEC MIANTSO,Location/MGT1010040068,CRVS_OFFICE
CRVS_MGT1010040069,CEC TALATA-ANGAVO,Location/MGT1010040069,CRVS_OFFICE
CRVS_MGT1010040070,CEC TSARAMASOANDRO,Location/MGT1010040070,CRVS_OFFICE
CRVS_MGT1010040071,CEC MANGASOAVINA,Location/MGT1010040071,CRVS_OFFICE
CRVS_MGT1010040072,CEC ANDRANOMIELY SUD,Location/MGT1010040072,CRVS_OFFICE
CRVS_MGT1010050073,CEC ALAKAMISY FENOARIVO,Location/MGT1010050073,CRVS_OFFICE
CRVS_MGT1010050074,CEC ALATSINAINY AMBAZAHA,Location/MGT1010050074,CRVS_OFFICE
CRVS_MGT1010050075,CEC AMBALAVAO,Location/MGT1010050075,CRVS_OFFICE
CRVS_MGT1010050076,CEC AMBATOFAHAVALO,Location/MGT1010050076,CRVS_OFFICE
CRVS_MGT1010050077,CEC AMBAVAHADITOKANA,Location/MGT1010050077,CRVS_OFFICE
CRVS_MGT1010050078,CEC AMBOHIDRAPETO,Location/MGT1010050078,CRVS_OFFICE
CRVS_MGT1010050079,CEC AMBOHIJANAKA,Location/MGT1010050079,CRVS_OFFICE
CRVS_MGT1010050080,CEC AMPAHITROSY,Location/MGT1010050080,CRVS_OFFICE
CRVS_MGT1010050081,CEC AMPANEFY,Location/MGT1010050081,CRVS_OFFICE
CRVS_MGT1010050082,CEC AMPITATAFIKA,Location/MGT1010050082,CRVS_OFFICE
CRVS_MGT1010050083,CEC ANDOHARANOFOTSY,Location/MGT1010050083,CRVS_OFFICE
CRVS_MGT1010050084,CEC ANDRANONAHOATRA,Location/MGT1010050084,CRVS_OFFICE
CRVS_MGT1010050085,CEC ANDROHIBE,Location/MGT1010050085,CRVS_OFFICE
CRVS_MGT1010050086,CEC ANKADIMANGA,Location/MGT1010050086,CRVS_OFFICE
CRVS_MGT1010050087,CEC ANKARAOBATO,Location/MGT1010050087,CRVS_OFFICE
CRVS_MGT1010050088,CEC ANOSIZATO ANDREFANA,Location/MGT1010050088,CRVS_OFFICE
CRVS_MGT1010050089,CEC ANTANETIKELY,Location/MGT1010050089,CRVS_OFFICE
CRVS_MGT1010050090,CEC BEMASOANDRO,Location/MGT1010050090,CRVS_OFFICE
CRVS_MGT1010050091,CEC BONGATSARA,Location/MGT1010050091,CRVS_OFFICE
CRVS_MGT1010050092,CEC FENOARIVO,Location/MGT1010050092,CRVS_OFFICE
CRVS_MGT1010050093,CEC FIOMBONANA,Location/MGT1010050093,CRVS_OFFICE
CRVS_MGT1010050094,CEC ITAOSY,Location/MGT1010050094,CRVS_OFFICE
CRVS_MGT1010050095,CEC SOALANDY,Location/MGT1010050095,CRVS_OFFICE
CRVS_MGT1010050096,CEC SOAVINA,Location/MGT1010050096,CRVS_OFFICE
CRVS_MGT1010050097,CEC TANJOMBATO,Location/MGT1010050097,CRVS_OFFICE
CRVS_MGT1010050098,CEC TSIAFAHY,Location/MGT1010050098,CRVS_OFFICE
CRVS_MGT1010060099,CEC ALASORA,Location/MGT1010060099,CRVS_OFFICE
CRVS_MGT1010060100,CEC AMBOHIMALAZA MIRAY,Location/MGT1010060100,CRVS_OFFICE
CRVS_MGT1010060101,CEC AMBOHIMANAMBOLA,Location/MGT1010060101,CRVS_OFFICE
CRVS_MGT1010060102,CEC AMBOHIMANGA ROVA,Location/MGT1010060102,CRVS_OFFICE
CRVS_MGT1010060103,CEC AMBOHIMANGAKELY,Location/MGT1010060103,CRVS_OFFICE
CRVS_MGT1010060104,CEC ANJEVA GARA,Location/MGT1010060104,CRVS_OFFICE
