statisticalID,name,partOf,code,physicalType
ve8k5eTMnwF,Muswishi Rural Health Centre,Location/HPGiE9Jjh2r,HEALTH_FACILITY
nfjLEcv9zhB,Mwantaya Health Post,Location/HPGiE9Jjh2r,HEALTH_FACILITY
dZK1x2CkZFw,Mwapula Health Post,Location/HPGiE9Jjh2r,HEALTH_FACILITY
xZhQm57zS74,Chalilo Rural Health Centre,Location/BxrIbNW7f3K,HEALTH_FACILITY
GYdpaONnIcF,Chipundu Rural Health Centre,Location/BxrIbNW7f3K,HEALTH_FACILITY
mSskBSbOvyq,Chitambo District Hospital,Location/BxrIbNW7f3K,HEALTH_FACILITY
VCpLdlzT8Mw,Chitambo Hospital Affiliated Health Centre,Location/BxrIbNW7f3K,HEALTH_FACILITY
Vs2PN5spHxu,Gibson Rural Health Centre,Location/BxrIbNW7f3K,HEALTH_FACILITY
YTEAv3ceBD5,Kafinda Health Post,Location/BxrIbNW7f3K,HEALTH_FACILITY
ZiLHXv99UoF,Katikulula Health Post,Location/BxrIbNW7f3K,HEALTH_FACILITY
ETF6T66OyQJ,Mapepala Rural Health Centre,Location/BxrIbNW7f3K,HEALTH_FACILITY
vqDZuaD12cz,Mpelembe Rural Health Centre,Location/BxrIbNW7f3K,HEALTH_FACILITY
cW0COgYvtJF,Muchinka Rural Health Centre,Location/BxrIbNW7f3K,HEALTH_FACILITY
Zhm6q4SeKWF,Mulaushi Health Post,Location/BxrIbNW7f3K,HEALTH_FACILITY
eyX5CfbwDbN,Nakatambo Rural Health Centre,Location/BxrIbNW7f3K,HEALTH_FACILITY
a0tulQPScYX,Reuben Health Post,Location/BxrIbNW7f3K,HEALTH_FACILITY
ql3xeEl9qyG,YoramuMwanje Health Post,Location/BxrIbNW7f3K,HEALTH_FACILITY
u0Kxxp8uuwQ,Banamwaze Rural Health Centre,Location/SQT8xjbvWwf,HEALTH_FACILITY
zjDc72AVjwY,Basanga Rural Health Centre,Location/SQT8xjbvWwf,HEALTH_FACILITY
pkREAlK2S2i,Bushinga Rural Health Post,Location/SQT8xjbvWwf,HEALTH_FACILITY
huGZsnkz4bQ,Buunga Health Post,Location/SQT8xjbvWwf,HEALTH_FACILITY
OzL8SVoMmRx,Chishila Rural Health Post,Location/SQT8xjbvWwf,HEALTH_FACILITY
Nn2Nt8mXWHE,Itezhi-Tezhi District Hospital,Location/SQT8xjbvWwf,HEALTH_FACILITY
RBlIkfACTLh,Itumbi Rural Health Post,Location/SQT8xjbvWwf,HEALTH_FACILITY
WBlI9w8DKGN,Kaanzwa Rural Health Centre,Location/SQT8xjbvWwf,HEALTH_FACILITY
aZKtSEmVant,Lubanda Rural Health Centre,Location/SQT8xjbvWwf,HEALTH_FACILITY
wSn3GyFUOtq,Luubwe Health Post,Location/SQT8xjbvWwf,HEALTH_FACILITY
nTJdkERDwUT,Makuzu Rurral Health Post,Location/SQT8xjbvWwf,HEALTH_FACILITY
sIQGY7SP2q2,Masasabi Health Post,Location/SQT8xjbvWwf,HEALTH_FACILITY
HZcbuTeLHyL,MasemuUrban Health Centre,Location/SQT8xjbvWwf,HEALTH_FACILITY
fy3TOuJ082I,Mbila Rural Health Centre,Location/SQT8xjbvWwf,HEALTH_FACILITY
O5zH5XTuzzq,Mutenda Rural Health Post,Location/SQT8xjbvWwf,HEALTH_FACILITY
A6hsoKzGQh5,Muunga Rural Health Centre,Location/SQT8xjbvWwf,HEALTH_FACILITY
gGEpfxID3u0,Nachishila Rural Health Centre,Location/SQT8xjbvWwf,HEALTH_FACILITY
yCUgTKpGGoi,Nansenga Rural Health Centre,Location/SQT8xjbvWwf,HEALTH_FACILITY
rm5rfKGTRRX,Nanzhila Rural Health Centre,Location/SQT8xjbvWwf,HEALTH_FACILITY
Ns7t5cAsY4q,Ngoma Rural Health Centre,Location/SQT8xjbvWwf,HEALTH_FACILITY
FrOn8lcbzPb,Balmoral Health Post,Location/ntoX1PkiWri,HEALTH_FACILITY
Ufr8nYcPCQQ,Chilanga Hospice,Location/ntoX1PkiWri,HEALTH_FACILITY
Uhkl6NC5yIc,Chilanga Urban Health Centre,Location/ntoX1PkiWri,HEALTH_FACILITY
k2kKFAEjPhu,Human ServiTrust Hospice,Location/ntoX1PkiWri,HEALTH_FACILITY
xwUD5u7CKKq,Kazimva Rural Health Centre,Location/ntoX1PkiWri,HEALTH_FACILITY
XWbUIccnUzo,Kris Katumba Health Post,Location/ntoX1PkiWri,HEALTH_FACILITY
dKj1T229tVI,MaaHealth Post,Location/ntoX1PkiWri,HEALTH_FACILITY
Bvp6RBPo62N,Makeni_Konga Rural Health Centre,Location/ntoX1PkiWri,HEALTH_FACILITY
HO8d6yM5ItR,Mt Eugenia Hospital,Location/ntoX1PkiWri,HEALTH_FACILITY
XpKKx7Zqdub,Mt Makulu Health Post,Location/ntoX1PkiWri,HEALTH_FACILITY
qnBP9Wm3MK7,Mt Makulu Urban Health Centre,Location/ntoX1PkiWri,HEALTH_FACILITY
hgcHEArb3st,Munyeu Health Post,Location/ntoX1PkiWri,HEALTH_FACILITY
edP6CRRrAyN,Mwembeshi Prisons Health Post,Location/ntoX1PkiWri,HEALTH_FACILITY
uZFREFe5Vds,Mwembeshi Rural Health Centre,Location/ntoX1PkiWri,HEALTH_FACILITY
Cunzgs27VkS,Paramilitary Health Post,Location/ntoX1PkiWri,HEALTH_FACILITY
bOo3kXTQfvT,Sekelela Health Post,Location/ntoX1PkiWri,HEALTH_FACILITY
x1Tfu2HRQUD,Victoria Clinic,Location/ntoX1PkiWri,HEALTH_FACILITY
sfSGuVk954T,Zambia Army Apollo Rural Health Centre,Location/ntoX1PkiWri,HEALTH_FACILITY
oqBLYbMJXcg,Zambia Helpers Society Hospital,Location/ntoX1PkiWri,HEALTH_FACILITY
QwiQcWknlhR,ZNS-BB Health Post,Location/ntoX1PkiWri,HEALTH_FACILITY
LPzSO1ZEvrD,ZNS-LDB Health Post,Location/ntoX1PkiWri,HEALTH_FACILITY
eChTvZQNbEz,ZNS-Safari Health Post,Location/ntoX1PkiWri,HEALTH_FACILITY
zoVWIb9J1wh,ZNS-Sopelo Health Post,Location/ntoX1PkiWri,HEALTH_FACILITY
oABTNoRnphB,Chibende Health Post,Location/SvFNQpplnch,HEALTH_FACILITY
WVR7X7U5l1J,Chikanzaya Rural Health Centre,Location/SvFNQpplnch,HEALTH_FACILITY
LlrP8fstjfM,Chipepo Rural Health Centre,Location/SvFNQpplnch,HEALTH_FACILITY
wPGo3hSQmS4,Hachipilika Rural Health Centre,Location/SvFNQpplnch,HEALTH_FACILITY
H3Ri3M3nenv,Ibbwemunyama Rural Health Centre,Location/SvFNQpplnch,HEALTH_FACILITY
RMTYyPy81zw,Jamba Rural Health Centre,Location/SvFNQpplnch,HEALTH_FACILITY
nOBgDJKBTs4,Kapululira Rural Health Centre,Location/SvFNQpplnch,HEALTH_FACILITY
gP8ovsHKPwc,Lumbembe Health Post,Location/SvFNQpplnch,HEALTH_FACILITY
HGoPoZDjm54,Lusitu Rural Health Centre,Location/SvFNQpplnch,HEALTH_FACILITY
XqKkJUutg8T,Mtendere Mission Hospital,Location/SvFNQpplnch,HEALTH_FACILITY
Hkue6N1TNBl,Mtendere Mission Hospital Affiliated Health Centre,Location/SvFNQpplnch,HEALTH_FACILITY
MKsK3cS0quF,Nabbanda Health Post,Location/SvFNQpplnch,HEALTH_FACILITY
LLWjjVQMpGH,Sikoongo Rural Health Centre,Location/SvFNQpplnch,HEALTH_FACILITY
gNLLh1Eggai,Chainda Rural Health Centre,Location/NLjvK1QsrN3,HEALTH_FACILITY
VEAzY3nDJxx,Chalimbana Rural Health Centre,Location/NLjvK1QsrN3,HEALTH_FACILITY
Tkf1vX1FHZi,Chalyabale Health Post,Location/NLjvK1QsrN3,HEALTH_FACILITY
vTMEikVUg29,Chaminuka Health Post,Location/NLjvK1QsrN3,HEALTH_FACILITY
q6BIpT1GCNG,Chansu Health Post,Location/NLjvK1QsrN3,HEALTH_FACILITY
Ux2wg0JkYbJ,Chikumbi Health Post,Location/NLjvK1QsrN3,HEALTH_FACILITY
mGFVfHhZpIH,Chongwe District Hospital,Location/NLjvK1QsrN3,HEALTH_FACILITY
DvK7XzkHzr1,Chongwe Referral Rural Health Centre,Location/NLjvK1QsrN3,HEALTH_FACILITY
peVc3YE5reG,Ellensdale Farm Health Post,Location/NLjvK1QsrN3,HEALTH_FACILITY
SnjCsADRyRt,Kabeleka Health Post,Location/NLjvK1QsrN3,HEALTH_FACILITY
dVYbTsxcnWa,Kampekete Rural Health Centre,Location/NLjvK1QsrN3,HEALTH_FACILITY
OQvNUldaonL,Kanakantapa Rural Health Centre,Location/NLjvK1QsrN3,HEALTH_FACILITY
oUZLRfhpgB2,Kapete Health Post,Location/NLjvK1QsrN3,HEALTH_FACILITY
eamcYIB10vj,Kasenga Health Post,Location/NLjvK1QsrN3,HEALTH_FACILITY
UcZRkyXRxsK,Kasisi Rural Health Centre,Location/NLjvK1QsrN3,HEALTH_FACILITY
xI2yusW1ANd,Katoba Rural Health Centre,Location/NLjvK1QsrN3,HEALTH_FACILITY
VTVfBgVp2HK,Lwiimba Rural Health Centre,Location/NLjvK1QsrN3,HEALTH_FACILITY
QByuNQ95b9q,Mikango Rural Health Centre,Location/NLjvK1QsrN3,HEALTH_FACILITY
a4svawAnU2r,Mpango Rural Health Centre,Location/NLjvK1QsrN3,HEALTH_FACILITY
c6JKhyMVnTL,Mulalika Health Post,Location/NLjvK1QsrN3,HEALTH_FACILITY
jr6BXwjvKJz,MutamiHealth Post,Location/NLjvK1QsrN3,HEALTH_FACILITY
y8B6xdrDsbT,Mwalumina Rural Health Centre,Location/NLjvK1QsrN3,HEALTH_FACILITY
YVjAGMkZrvm,Nachitete Health Post,Location/NLjvK1QsrN3,HEALTH_FACILITY
kfIZWsFCXx7,Nchute Health Post,Location/NLjvK1QsrN3,HEALTH_FACILITY
nJyQffmuyIv,Ngwe Rere Health Post,Location/NLjvK1QsrN3,HEALTH_FACILITY
cY8oU70zgc2,Ngwe Rere Main Rural Health Centre,Location/NLjvK1QsrN3,HEALTH_FACILITY
Ons9LFn8qDM,Palabana Rural Health Centre,Location/NLjvK1QsrN3,HEALTH_FACILITY
sHnu7v8g1dl,Shiyala Health Post,Location/NLjvK1QsrN3,HEALTH_FACILITY
FgM7TeHrSiJ,Water FallsRural Health Centre,Location/NLjvK1QsrN3,HEALTH_FACILITY
Dzuvv20pM02,ZAF 71 Rural Health Centre,Location/NLjvK1QsrN3,HEALTH_FACILITY
fKWbIcOontB,ZAF Base_Chongwe Rural Health Centre,Location/NLjvK1QsrN3,HEALTH_FACILITY
SGwFAtGFG5W,Zasti Rural Health Centre,Location/NLjvK1QsrN3,HEALTH_FACILITY
YUfAZavZy7W,ZNS Airport Health Post,Location/NLjvK1QsrN3,HEALTH_FACILITY
ujrW5Mgbzlg,ZNS Chongwe Clinic,Location/NLjvK1QsrN3,HEALTH_FACILITY
pgh8kxpUHJU,Chanyanya Rural Health Centre,Location/hywxVKv48Xp,HEALTH_FACILITY
OkiRXQpHse1,Chiawa Rural Health Centre,Location/hywxVKv48Xp,HEALTH_FACILITY
zcYphl5V9dk,Chikoka Health Post,Location/hywxVKv48Xp,HEALTH_FACILITY
